name,region,size,task_clock,CPUs_utilized,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,instructions,branches,branch_misses,time_elapsed,IO,num_threads
mandelbrot_omp,seahorse,512,446.34,10.607,74,1,666,102.590,331.427,521.777,493.774,977.794,0.04208,False,1
mandelbrot_omp,seahorse,1024,380.28,8.960,111,3,346,406.697,905.884,695.112,792.636,427.880,0.15405,False,1
mandelbrot_omp,seahorse,2048,036.40,8.453,190,6,067,178.298,407.769,106.372,551.325,117.720,0.59584,False,1
mandelbrot_omp,seahorse,4096,676.21,7.859,993,29,946,067.036,034.041,956.505,100.462,206.791,2.5036,False,1
mandelbrot_omp,seahorse,8192,818.56,8.064,892,89,466,607.147,634.718,139.163,591.623,231.612,10.519,False,1
mandelbrot_omp,elephant,16,18.03,6.679,4,0,108,188.484,720.788,624.949,813.734,94.486,0.002700,False,1
mandelbrot_omp,elephant,32,68.84,9.523,18,2,115,397.235,958.423,272.550,504.943,120.086,0.00723,False,1
mandelbrot_omp,elephant,64,21.19,7.183,6,0,145,328.868,085.358,637.052,845.514,109.714,0.002950,False,1
mandelbrot_omp,elephant,128,55.71,10.361,8,0,265,179.457,985.485,616.767,519.450,153.012,0.005377,False,1
mandelbrot_omp,elephant,256,151.03,8.551,29,1,746,410.928,730.218,865.831,340.629,323.692,0.01766,False,1
mandelbrot_omp,elephant,512,438.29,10.411,75,2,666,037.053,443.995,066.042,881.598,960.720,0.04210,False,1
mandelbrot_omp,elephant,1024,317.43,8.693,103,4,346,961.885,006.865,547.843,309.862,350.597,0.15155,False,1
mandelbrot_omp,elephant,2048,792.38,8.158,199,6,066,424.883,453.530,372.913,261.438,777.852,0.58744,False,1
mandelbrot_omp,elephant,4096,486.89,7.613,105,15,946,732.787,157.973,407.580,338.630,164.753,2.4282,False,1
mandelbrot_omp,elephant,8192,271.32,7.947,256,40,466,499.529,016.562,683.547,504.315,566.899,9.975,False,1
mandelbrot_omp,triple_spiral,16,14.04,5.871,3,0,108,655.283,688.978,395.615,151.366,93.128,0.002392,False,1
mandelbrot_omp,triple_spiral,32,32.48,8.818,8,0,115,640.368,177.445,065.552,079.679,103.433,0.003684,False,1
mandelbrot_omp,triple_spiral,64,27.23,8.447,5,0,145,385.819,079.882,491.087,667.378,110.656,0.003224,False,1
mandelbrot_omp,triple_spiral,128,64.19,10.538,9,0,265,160.152,195.132,613.451,395.377,158.549,0.006091,False,1
mandelbrot_omp,triple_spiral,256,161.17,8.493,24,2,746,820.808,053.961,711.083,118.300,334.678,0.01898,False,1
mandelbrot_omp,triple_spiral,512,475.07,11.001,75,2,666,113.275,653.323,085.570,150.883,004.902,0.04319,False,1
mandelbrot_omp,triple_spiral,1024,544.88,9.517,100,4,346,488.119,094.080,302.373,291.981,558.693,0.16233,False,1
mandelbrot_omp,triple_spiral,2048,678.31,9.110,196,6,066,935.834,807.142,295.446,509.594,622.292,0.62332,False,1
mandelbrot_omp,triple_spiral,4096,106.72,8.497,481,13,947,457.295,363.750,256.891,775.248,776.444,2.6018,False,1
mandelbrot_omp,triple_spiral,8192,462.32,8.763,341,70,466,976.112,812.437,369.521,113.817,538.258,11.008,False,1
mandelbrot_seq,full,16,0.95,0.595,0,0,64,533.718,972.566,607.331,311.663,34.587,0.001606,False,1
mandelbrot_seq,full,32,1.47,0.680,0,0,72,056.510,949.143,512.411,423.946,36.109,0.0021550,False,1
mandelbrot_seq,full,64,1.82,0.730,0,0,102,281.018,347.739,127.661,879.134,44.596,0.002499,False,1
mandelbrot_seq,full,128,7.32,0.913,0,0,221,619.447,147.347,401.199,676.388,74.306,0.008014,False,1
mandelbrot_seq,full,256,18.93,0.948,0,0,703,353.004,526.877,445.447,846.656,188.656,0.01997,False,1
mandelbrot_seq,full,512,59.43,0.985,0,0,623,327.855,554.185,159.835,459.256,632.839,0.06033,False,1
mandelbrot_seq,full,1024,216.82,0.996,0,0,303,911.179,362.549,765.894,850.561,384.426,0.21772,False,1
mandelbrot_seq,full,2048,841.26,0.989,16,1,023,021.604,174.850,954.940,861.396,506.223,0.85078,False,1
mandelbrot_seq,full,4096,289.51,0.965,42,3,903,205.562,344.874,732.710,295.083,785.278,3.4096,False,1
mandelbrot_seq,full,8192,086.99,0.979,134,11,423,157.603,883.708,265.380,447.083,629.121,13.363,False,1
mandelbrot_seq,seahorse,16,1.50,0.690,0,0,65,394.116,935.356,574.297,387.194,35.305,0.002172,False,1
mandelbrot_seq,seahorse,32,2.50,0.809,0,0,73,886.681,018.481,343.362,712.573,37.643,0.003092,False,1
mandelbrot_seq,seahorse,64,10.67,0.936,0,0,103,880.217,361.610,514.584,035.693,50.979,0.011396,False,1
mandelbrot_seq,seahorse,128,22.93,0.959,1,0,223,686.286,534.206,833.078,267.368,93.591,0.02390,False,1
mandelbrot_seq,seahorse,256,72.76,0.992,0,0,704,635.903,897.348,946.117,129.885,253.592,0.07333,False,1
mandelbrot_seq,seahorse,512,283.61,0.993,4,0,624,491.974,709.541,881.353,722.658,918.411,0.28551,False,1
mandelbrot_seq,seahorse,1024,106.33,0.999,5,0,304,376.929,521.468,692.281,607.222,508.855,1.10758,False,1
mandelbrot_seq,seahorse,2048,411.59,0.997,21,3,024,570.308,596.062,324.743,458.808,886.063,4.42462,False,1
mandelbrot_seq,seahorse,4096,587.86,0.989,103,9,904,854.832,736.784,949.205,623.184,412.678,17.7813,False,1
mandelbrot_seq,seahorse,8192,207.41,0.997,284,12,424,537.426,382.546,944.691,639.115,613.594,70.425,False,1
mandelbrot_seq,elephant,16,1.23,0.675,0,0,65,503.048,996.700,547.052,384.584,35.233,0.001828,False,1
mandelbrot_seq,elephant,32,3.95,0.816,0,0,73,894.344,127.631,177.541,701.883,38.322,0.004833,False,1
mandelbrot_seq,elephant,64,10.58,0.931,0,0,103,215.623,501.347,615.421,968.997,50.336,0.011357,False,1
mandelbrot_seq,elephant,128,19.33,0.966,0,0,223,443.097,392.571,019.076,973.130,88.444,0.02002,False,1
mandelbrot_seq,elephant,256,71.55,0.989,0,0,704,904.288,885.054,597.852,994.768,244.361,0.07233,False,1
mandelbrot_seq,elephant,512,268.38,0.994,5,0,624,544.299,245.410,431.111,110.472,877.917,0.26999,False,1
mandelbrot_seq,elephant,1024,047.78,0.998,5,1,304,022.787,691.504,886.884,014.662,327.116,1.04969,False,1
mandelbrot_seq,elephant,2048,167.77,0.978,18,2,024,098.186,672.448,384.420,423.079,987.716,4.2602,False,1
