executable,n,elapsed_time,version,n_procs,process_0_elapsed_time,process_1_elapsed_time,max_proc_id,process_2_elapsed_time,process_3_elapsed_time,process_4_elapsed_time,process_5_elapsed_time,process_6_elapsed_time,process_7_elapsed_time,process_8_elapsed_time,process_9_elapsed_time,process_10_elapsed_time,process_11_elapsed_time,process_12_elapsed_time,process_13_elapsed_time,process_14_elapsed_time,process_15_elapsed_time,process_16_elapsed_time,process_17_elapsed_time,process_18_elapsed_time,process_19_elapsed_time,process_20_elapsed_time,process_21_elapsed_time,process_22_elapsed_time,process_23_elapsed_time,process_24_elapsed_time,process_25_elapsed_time,process_26_elapsed_time,process_27_elapsed_time,process_28_elapsed_time,process_29_elapsed_time,process_30_elapsed_time,process_31_elapsed_time,process_32_elapsed_time,process_33_elapsed_time,process_34_elapsed_time,process_35_elapsed_time,process_36_elapsed_time,process_37_elapsed_time,process_38_elapsed_time,process_39_elapsed_time,process_40_elapsed_time,process_41_elapsed_time,process_42_elapsed_time,process_43_elapsed_time,process_44_elapsed_time,process_45_elapsed_time,process_46_elapsed_time,process_47_elapsed_time,process_48_elapsed_time,process_49_elapsed_time,process_50_elapsed_time,process_51_elapsed_time,process_52_elapsed_time,process_53_elapsed_time,process_54_elapsed_time,process_55_elapsed_time,process_56_elapsed_time,process_57_elapsed_time,process_58_elapsed_time,process_59_elapsed_time,process_60_elapsed_time,process_61_elapsed_time,process_62_elapsed_time,process_63_elapsed_time
1D_parallel_julia,500,0.072428,mpi,2.0,0.072073,0.072428,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.073292,mpi,2.0,0.073292,0.071962,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.096132,mpi,2.0,0.072858,0.096132,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.073767,mpi,2.0,0.073767,0.073314,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.072462,mpi,2.0,0.072462,0.07163,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.094733,mpi,2.0,0.072505,0.094733,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.095273,mpi,2.0,0.073048,0.095273,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.095468,mpi,2.0,0.072796,0.095468,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.071729,mpi,2.0,0.071459,0.071729,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.095468,mpi,2.0,0.072088,0.095468,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.094862,mpi,2.0,0.072181,0.094862,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.095973,mpi,2.0,0.091009,0.095973,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.098699,mpi,2.0,0.091076,0.098699,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.095059,mpi,2.0,0.072067,0.095059,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.098643,mpi,2.0,0.091688,0.098643,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.072034,mpi,2.0,0.072034,0.071639,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.094571,mpi,2.0,0.072193,0.094571,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.084559,mpi,2.0,0.084559,0.07213,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.071752,mpi,2.0,0.071696,0.071752,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.099104,mpi,2.0,0.096452,0.099104,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.079813,mpi,4.0,0.018122,0.054679,2.0,0.079813,0.018282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.079283,mpi,4.0,0.017115,0.079283,1.0,0.055779,0.017899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.056408,mpi,4.0,0.023621,0.054699,2.0,0.056408,0.023785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.08349,mpi,4.0,0.023075,0.061466,2.0,0.08349,0.039067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.06335,mpi,4.0,0.038778,0.061376,2.0,0.06335,0.017261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.061434,mpi,4.0,0.017414,0.061434,1.0,0.055682,0.024443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.055112,mpi,4.0,0.017798,0.054825,2.0,0.055112,0.017385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.078731,mpi,4.0,0.017263,0.078731,1.0,0.054614,0.039223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.061132,mpi,4.0,0.042478,0.054886,2.0,0.061132,0.024331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.059733,mpi,4.0,0.022385,0.059733,1.0,0.057445,0.02225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.058937,mpi,4.0,0.038735,0.058937,1.0,0.055138,0.025132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.059624,mpi,4.0,0.024227,0.059624,1.0,0.054996,0.018232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.057006,mpi,4.0,0.017182,0.057006,1.0,0.05491,0.017431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.05471,mpi,4.0,0.046637,0.054463,2.0,0.05471,0.038713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.057942,mpi,4.0,0.043532,0.057942,1.0,0.054966,0.025408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.055797,mpi,4.0,0.017329,0.054897,2.0,0.055797,0.017956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.060379,mpi,4.0,0.017155,0.060379,1.0,0.055171,0.024898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.0778,mpi,4.0,0.017101,0.058224,2.0,0.0778,0.023738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.060619,mpi,4.0,0.017265,0.054684,2.0,0.060619,0.024479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_parallel_julia,500,0.056572,mpi,4.0,0.039034,0.056572,1.0,0.054656,0.017452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
