executable,n_points,iter_limit,block_dim_x,block_dim_y,grid_dim_x,grid_dim_y,num_threads_per_block,num_blocks_per_grid,elapsed_time,version
heat,200,1024,,,,,,,0.150505891,sequential
heat,200,1024,,,,,,,0.149968374,sequential
heat,200,1024,,,,,,,0.149662389,sequential
heat,200,1024,,,,,,,0.149927306,sequential
heat,200,1024,,,,,,,0.149688231,sequential
heat,200,1024,,,,,,,0.149543026,sequential
heat,200,1024,,,,,,,0.149684455,sequential
heat,200,1024,,,,,,,0.149445868,sequential
heat,200,1024,,,,,,,0.149424776,sequential
heat,200,1024,,,,,,,0.172311876,sequential
heat,200,1024,,,,,,,0.153142558,sequential
heat,200,1024,,,,,,,0.149818345,sequential
heat,200,1024,,,,,,,0.149962988,sequential
heat,200,1024,,,,,,,0.155213073,sequential
heat,200,1024,,,,,,,0.149247927,sequential
heat,200,1024,,,,,,,0.149614327,sequential
heat,200,1024,,,,,,,0.158939725,sequential
heat,200,1024,,,,,,,0.160921751,sequential
heat,200,1024,,,,,,,0.149809258,sequential
heat,200,1024,,,,,,,0.149769655,sequential
heat,200,1024,,,,,,,0.149728867,sequential
heat,200,1024,,,,,,,0.150175657,sequential
heat,200,1024,,,,,,,0.149632273,sequential
heat,200,1024,,,,,,,0.149166834,sequential
heat,200,1024,,,,,,,0.149899353,sequential
heat,200,1024,,,,,,,0.149051307,sequential
heat,200,1024,,,,,,,0.149641557,sequential
